Freq.:1E2-2E6.Step:100.Amplitude:0,5. Speed:slow(2.5s)
LEMI142N12old
N,Freq,Mag1,Mag2,DB,Phase,K
1,1.0000E2,3.9923E-2,1.9754E-2,-6.1110E0,-1.6157E1,4.948E-1
2,1.1053E2,3.9919E-2,2.4215E-2,-4.3422E0,-1.7759E1,6.066E-1
3,1.2216E2,3.9919E-2,2.9445E-2,-2.6436E0,-1.9276E1,7.376E-1
4,1.3502E2,3.9921E-2,3.5808E-2,-9.4431E-1,-2.0998E1,8.970E-1
5,1.4923E2,3.9923E-2,4.3541E-2,7.5309E-1,-2.2781E1,1.091E0
6,1.6493E2,3.9920E-2,5.2792E-2,2.4273E0,-2.5095E1,1.322E0
7,1.8229E2,3.9921E-2,6.3965E-2,4.0948E0,-2.7466E1,1.602E0
8,2.0148E2,3.9923E-2,7.7398E-2,5.7504E0,-3.0105E1,1.939E0
9,2.2269E2,3.9919E-2,9.3428E-2,7.3858E0,-3.3012E1,2.340E0
10,2.4613E2,3.9921E-2,1.1257E-1,9.0045E0,-3.6222E1,2.820E0
11,2.7203E2,3.9923E-2,1.3513E-1,1.0590E1,-3.9747E1,3.385E0
12,3.0066E2,3.9924E-2,1.6171E-1,1.2150E1,-4.3607E1,4.050E0
13,3.3231E2,3.9924E-2,1.9260E-1,1.3668E1,-4.7842E1,4.824E0
14,3.6729E2,3.9920E-2,2.2835E-1,1.5148E1,-5.2434E1,5.720E0
15,4.0595E2,3.9921E-2,2.6884E-1,1.6566E1,-5.7410E1,6.734E0
16,4.4867E2,3.9921E-2,3.1393E-1,1.7913E1,-6.2740E1,7.864E0
17,4.9590E2,3.9921E-2,3.6366E-1,1.9189E1,-6.8411E1,9.109E0
18,5.4809E2,3.9923E-2,4.1665E-1,2.0371E1,-7.4377E1,1.044E1
19,6.0578E2,3.9923E-2,4.7229E-1,2.1460E1,-8.0587E1,1.183E1
20,6.6954E2,3.9921E-2,5.2897E-1,2.2444E1,-8.6949E1,1.325E1
21,7.4001E2,3.9920E-2,5.8513E-1,2.3321E1,-9.3381E1,1.466E1
22,8.1790E2,3.9921E-2,6.3914E-1,2.4088E1,-9.9777E1,1.601E1
23,9.0399E2,3.9918E-2,6.8956E-1,2.4748E1,-1.0604E2,1.727E1
24,9.9914E2,3.9922E-2,7.3592E-1,2.5313E1,-1.1211E2,1.843E1
25,1.1043E3,3.9923E-2,7.7685E-1,2.5782E1,-1.1787E2,1.946E1
26,1.2205E3,3.9922E-2,8.1257E-1,2.6173E1,-1.2332E2,2.035E1
27,1.3490E3,3.9922E-2,8.4318E-1,2.6494E1,-1.2841E2,2.112E1
28,1.4910E3,3.9922E-2,8.6914E-1,2.6758E1,-1.3313E2,2.177E1
29,1.6479E3,3.9924E-2,8.9092E-1,2.6972E1,-1.3748E2,2.232E1
30,1.8214E3,3.9921E-2,9.0900E-1,2.7147E1,-1.4148E2,2.277E1
31,2.0131E3,3.9924E-2,9.2392E-1,2.7288E1,-1.4514E2,2.314E1
32,2.2250E3,3.9927E-2,9.3627E-1,2.7403E1,-1.4848E2,2.345E1
33,2.4591E3,3.9927E-2,9.4644E-1,2.7496E1,-1.5153E2,2.370E1
34,2.7180E3,3.9929E-2,9.5477E-1,2.7572E1,-1.5430E2,2.391E1
35,3.0041E3,3.9929E-2,9.6157E-1,2.7634E1,-1.5683E2,2.408E1
36,3.3202E3,3.9930E-2,9.6715E-1,2.7684E1,-1.5913E2,2.422E1
37,3.6697E3,3.9933E-2,9.7175E-1,2.7724E1,-1.6123E2,2.433E1
38,4.0560E3,3.9936E-2,9.7547E-1,2.7757E1,-1.6314E2,2.443E1
39,4.4829E3,3.9934E-2,9.7854E-1,2.7785E1,-1.6488E2,2.450E1
40,4.9547E3,3.9932E-2,9.8106E-1,2.7807E1,-1.6647E2,2.457E1
41,5.4762E3,3.9940E-2,9.8309E-1,2.7824E1,-1.6794E2,2.461E1
42,6.0526E3,3.9940E-2,9.8480E-1,2.7838E1,-1.6928E2,2.466E1
43,6.6896E3,3.9938E-2,9.8617E-1,2.7851E1,-1.7051E2,2.469E1
44,7.3938E3,3.9936E-2,9.8735E-1,2.7862E1,-1.7165E2,2.472E1
45,8.1720E3,3.9935E-2,9.8828E-1,2.7871E1,-1.7271E2,2.475E1
46,9.0321E3,3.9934E-2,9.8907E-1,2.7878E1,-1.7369E2,2.477E1
47,9.9828E3,3.9933E-2,9.8970E-1,2.7884E1,-1.7461E2,2.478E1
48,1.1034E4,3.9927E-2,9.9019E-1,2.7889E1,-1.7549E2,2.480E1
49,1.2195E4,3.9924E-2,9.9057E-1,2.7893E1,-1.7631E2,2.481E1
50,1.3478E4,3.9932E-2,9.9106E-1,2.7895E1,-1.7710E2,2.482E1
51,1.4897E4,3.9935E-2,9.9127E-1,2.7897E1,-1.7787E2,2.482E1
52,1.6465E4,3.9942E-2,9.9153E-1,2.7897E1,-1.7860E2,2.482E1
53,1.8198E4,3.9948E-2,9.9172E-1,2.7898E1,-1.7932E2,2.483E1
54,2.0113E4,3.9954E-2,9.9186E-1,2.7898E1,1.7997E2,2.483E1
55,2.2230E4,3.9963E-2,9.9193E-1,2.7896E1,1.7926E2,2.482E1
56,2.4570E4,3.9968E-2,9.9200E-1,2.7896E1,1.7854E2,2.482E1
57,2.7156E4,3.9977E-2,9.9199E-1,2.7894E1,1.7782E2,2.481E1
58,3.0015E4,3.9981E-2,9.9192E-1,2.7892E1,1.7707E2,2.481E1
59,3.3174E4,3.9988E-2,9.9181E-1,2.7890E1,1.7629E2,2.480E1
60,3.6665E4,3.9990E-2,9.9133E-1,2.7886E1,1.7548E2,2.479E1
61,4.0525E4,3.9990E-2,9.9085E-1,2.7881E1,1.7463E2,2.478E1
62,4.4790E4,3.9994E-2,9.9031E-1,2.7876E1,1.7372E2,2.476E1
63,4.9504E4,4.0003E-2,9.8972E-1,2.7868E1,1.7276E2,2.474E1
64,5.4715E4,4.0006E-2,9.8893E-1,2.7861E1,1.7172E2,2.472E1
65,6.0474E4,4.0012E-2,9.8796E-1,2.7851E1,1.7060E2,2.469E1
